제품코드,제품명,제품용량,규격,단일상자환산값,2합환산값,시키리,본부장,JANコード
101005130,アングリーチャパグリカップ24入★受注生産,114.0,12×2,12.0,24.0,185.0,145.0,8801043056823
101005113,甘辛ヤンニョムチキンビビン麺カップ12,122.0,12,12.0,12.0,166.0,135.0,8801043060844
101004811,チャパグリカップ12入,114.0,12,12.0,12.0,166.0,135.0,8801043056793
101005173,辛ラーメン焼きそばカップ12入,103.0,12,12.0,12.0,166.0,135.0,8801043062367
101004872,アングリーノグリカップ(縦)※シール貼/ﾛｼﾞﾊﾞﾝﾄﾞ,62.0,12×2,12.0,24.0,132.0,105.0,8801043056427
903001930,コリコレ韓国鍋セットプデチゲ,210.0,6×6,6.0,36.0,300.0,,4582214637280
903001931,コリコレ韓国鍋セットキムチチゲ,210.0,6×6,6.0,36.0,300.0,,4582214637303
903001932,コリコレ韓国鍋セットコチュジャンチゲ,240.0,6×6,6.0,36.0,300.0,,4582214637327
101005364,ノグリバケツカップ24入★受注生産,114.0,12×2,12.0,24.0,185.0,145.0,8801043048040
903001991,コリコレポックム　鉄板タッカルビ,205.0,6×6,6.0,36.0,338.0,,4582214637341
903001992,コリコレポックム　豚肉ポックム,210.0,6×6,6.0,36.0,338.0,,4582214637365
101002748,本場韓国のりラーメン　,75.0,12×2,12.0,24.0,140.0,88.0,8801043024174
101000988,旨韓国ピリ辛ラーメン　,65.0,12×2,12.0,24.0,91.0,78.0,4582214631103
101001960,旨激辛ラーメン ,65.0,12×2,12.0,24.0,91.0,78.0,4582214631165
903002021,Newコリコレ韓国鍋セットプデチゲ,200.0,6×6,6.0,36.0,338.0,235.0,4582214637389
903002022,Newコリコレ韓国鍋セットキムチチゲ,210.0,6×6,6.0,36.0,338.0,235.0,4582214637402
903002023,コリコレ鍋セット　スンドゥブチゲ,210.0,6×6,6.0,36.0,338.0,235.0,4582214637426
